"No.","Time","Source","Destination","Protocol","Length","Info"
"16","10.435994","127.0.0.1","127.0.0.1","TCP","56","53744  >  5000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"17","10.436074","127.0.0.1","127.0.0.1","TCP","56","5000  >  53744 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"18","10.436111","127.0.0.1","127.0.0.1","TCP","44","53744  >  5000 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"19","10.436169","127.0.0.1","127.0.0.1","HTTP","189","GET / HTTP/1.1 "
"20","10.436184","127.0.0.1","127.0.0.1","TCP","44","5000  >  53744 [ACK] Seq=1 Ack=146 Win=65280 Len=0"
"25","11.495921","127.0.0.1","127.0.0.1","TCP","217","5000  >  53744 [PSH, ACK] Seq=1 Ack=146 Win=65280 Len=173 [TCP PDU reassembled in 27]"
"26","11.495956","127.0.0.1","127.0.0.1","TCP","44","53744  >  5000 [ACK] Seq=146 Ack=174 Win=65280 Len=0"
"27","11.495978","127.0.0.1","127.0.0.1","HTTP","62","HTTP/1.0 200 OK  (text/html)"
"28","11.495986","127.0.0.1","127.0.0.1","TCP","44","53744  >  5000 [ACK] Seq=146 Ack=192 Win=65280 Len=0"
"29","11.496448","127.0.0.1","127.0.0.1","TCP","44","53744  >  5000 [FIN, ACK] Seq=146 Ack=192 Win=65280 Len=0"
"30","11.496475","127.0.0.1","127.0.0.1","TCP","44","5000  >  53744 [ACK] Seq=192 Ack=147 Win=65280 Len=0"
"31","11.497860","127.0.0.1","127.0.0.1","TCP","44","5000  >  53744 [FIN, ACK] Seq=192 Ack=147 Win=65280 Len=0"
"32","11.497907","127.0.0.1","127.0.0.1","TCP","44","53744  >  5000 [ACK] Seq=147 Ack=193 Win=65280 Len=0"
"33","12.666785","127.0.0.1","127.0.0.1","TCP","56","53745  >  5000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"34","12.666849","127.0.0.1","127.0.0.1","TCP","56","5000  >  53745 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"35","12.666884","127.0.0.1","127.0.0.1","TCP","44","53745  >  5000 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"36","12.666954","127.0.0.1","127.0.0.1","HTTP","189","GET / HTTP/1.1 "
